COD_CURSO;NUM_VERSAO;DESCR_ESTRUTURA;COD_DISCIPLINA;NOME_UNIDADE;NOME_DISCIPLINA;PERIODO_IDEAL;NUM_HORAS;TIPO_DISCIPLINA;SITUACAO_VERSAO;CH_TOTAL
;;;;;;;;;;
21A;2011;Atividades Formativas Complementares;AAC034;Curso de Ciência da Computação - Bacharelado;Atividades Formativas Complementares;;480;Obrigatória;A;480
21A;2011;Obrigatórias;CE003;Curso de Ciência da Computação - Bacharelado;Estatística II;4;60;Obrigatória;A;60
21A;2011;Obrigatórias;CI055;Curso de Ciência da Computação - Bacharelado;ALGORITMOS E ESTRUTURAS DE DADOS I;1;30;Obrigatória;A;60
21A;2011;Obrigatórias;CI055;Curso de Ciência da Computação - Bacharelado;ALGORITMOS E ESTRUTURAS DE DADOS I;1;30;Obrigatória;A;60
21A;2011;Obrigatórias;CI056;Curso de Ciência da Computação - Bacharelado;ALGORITMOS E ESTRUTURAS DE DADOS II;2;30;Obrigatória;A;60
21A;2011;Obrigatórias;CI056;Curso de Ciência da Computação - Bacharelado;ALGORITMOS E ESTRUTURAS DE DADOS II;2;30;Obrigatória;A;60
21A;2011;Obrigatórias;CI057;Curso de Ciência da Computação - Bacharelado;ALGORITMOS E ESTRUTURAS DE DADOS III;3;30;Obrigatória;A;60
21A;2011;Obrigatórias;CI057;Curso de Ciência da Computação - Bacharelado;ALGORITMOS E ESTRUTURAS DE DADOS III;3;30;Obrigatória;A;60
21A;2011;Obrigatórias;CI058;Curso de Ciência da Computação - Bacharelado;REDE DE COMPUTADORES I;4;30;Obrigatória;A;60
21A;2011;Obrigatórias;CI058;Curso de Ciência da Computação - Bacharelado;REDE DE COMPUTADORES I;4;30;Obrigatória;A;60
21A;2011;Obrigatórias;CI059;Curso de Ciência da Computação - Bacharelado;INTRODUCAO A TEORIA DA COMPUTACAO;5;30;Obrigatória;A;60
21A;2011;Obrigatórias;CI059;Curso de Ciência da Computação - Bacharelado;INTRODUCAO A TEORIA DA COMPUTACAO;5;30;Obrigatória;A;60
21A;2011;Obrigatórias;CI061;Curso de Ciência da Computação - Bacharelado;REDE DE COMPUTADORES II;5;30;Obrigatória;A;60
