COD_CURSO;NUM_VERSAO;DESCR_ESTRUTURA;COD_DISCIPLINA;NOME_UNIDADE;NOME_DISCIPLINA;PERIODO_IDEAL;NUM_HORAS;TIPO_DISCIPLINA;CH_TOTAL;DESCR_SITUACAO
;;;;;;;;;;
21A;2019;Estágio Supervisionado Obrigatório;CI1100;Curso de Ciência da Computação - Bacharelado;ESTÁGIO OBRIGATÓRIO;;220;Estágio Curricular;220;ATIVA
21A;2019;Núcleo de Conteúdos obrigatórios;CE009;Curso de Ciência da Computação - Bacharelado;INTRODUÇÃO À ESTATÍSTICA;3;60;Obrigatória;60;ATIVA
21A;2019;Núcleo de Conteúdos obrigatórios;CI1001;Curso de Ciência da Computação - Bacharelado;PROGRAMAÇÃO I;2;60;Obrigatória;60;ATIVA
21A;2019;Núcleo de Conteúdos obrigatórios;CI1002;Curso de Ciência da Computação - Bacharelado;PROGRAMAÇÃO II;3;60;Obrigatória;60;ATIVA
21A;2019;Núcleo de Conteúdos obrigatórios;CI1003;Curso de Ciência da Computação - Bacharelado;INTRODUÇÃO À CIÊNCIA DA COMPUTAÇÃO;1;30;Obrigatória;60;ATIVA
21A;2019;Núcleo de Conteúdos obrigatórios;CI1003;Curso de Ciência da Computação - Bacharelado;INTRODUÇÃO À CIÊNCIA DA COMPUTAÇÃO;1;30;Obrigatória;60;ATIVA
21A;2019;Núcleo de Conteúdos obrigatórios;CI1005;Curso de Ciência da Computação - Bacharelado;QUALIDADE DE SOFTWARE;8;45;Obrigatória;60;ATIVA
21A;2019;Núcleo de Conteúdos obrigatórios;CI1005;Curso de Ciência da Computação - Bacharelado;QUALIDADE DE SOFTWARE;8;15;Obrigatória;60;ATIVA
21A;2019;Núcleo de Conteúdos obrigatórios;CI1007;Curso de Ciência da Computação - Bacharelado;SEGURANÇA COMPUTACIONAL;7;44;Obrigatória;60;ATIVA
